Date,0001.HK,0002.HK,0003.HK,0004.HK,0005.HK,0006.HK,0008.HK,0010.HK,0011.HK,0012.HK
2020-03-16,51.29999923706055,77.69999694824219,13.80952262878418,13.680000305175781,44.0,51.95000076293945,4.323451042175293,16.959999084472656,136.10000610351562,33.099998474121094
2020-03-17,53.099998474121094,75.5999984741211,13.600000381469727,13.520000457763672,45.0,51.650001525878906,4.256197929382324,16.540000915527344,132.0,33.54999923706055
2020-03-18,52.099998474121094,76.25,14.20952320098877,13.199999809265137,45.20000076293945,52.0,4.217766761779785,16.100000381469727,135.0,34.0
2020-03-19,50.0,74.1500015258789,13.866665840148926,12.880000114440918,44.20000076293945,50.349998474121094,4.0736517906188965,15.220000267028809,135.1999969482422,31.950000762939453
2020-03-20,46.25,69.1500015258789,13.085714340209961,12.979999542236328,44.95000076293945,45.650001525878906,3.881498098373413,14.5,130.60000610351562,30.049999237060547
2020-03-23,46.54999923706055,68.25,12.095237731933594,12.4399995803833,44.75,42.79999923706055,3.8046369552612305,14.380000114440918,127.80000305175781,28.799999237060547
2020-03-24,47.099998474121094,65.6500015258789,11.428570747375488,13.199999809265137,45.0,42.650001525878906,3.8046369552612305,14.899999618530273,129.60000610351562,27.5
2020-03-25,48.650001525878906,68.30000305175781,12.0,13.5,46.099998474121094,46.599998474121094,3.958359956741333,15.819999694824219,131.1999969482422,29.200000762939453
2020-03-26,51.650001525878906,72.0,12.076189994812012,13.699999809265137,45.95000076293945,46.5,3.967967987060547,16.440000534057617,138.8000030517578,29.549999237060547
2020-03-27,52.45000076293945,70.5999984741211,11.84761905670166,14.199999809265137,46.0,45.95000076293945,4.0736517906188965,16.700000762939453,134.39999389648438,29.350000381469727
2020-03-30,52.900001525878906,70.0,11.733332633972168,13.5600004196167,44.79999923706055,45.5,4.035221099853516,15.84000015258789,131.89999389648438,28.350000381469727
2020-03-31,51.650001525878906,70.5999984741211,11.600000381469727,13.720000267028809,44.75,46.5,4.04482889175415,15.600000381469727,136.0,29.0
2020-04-01,52.5,69.9000015258789,12.05714225769043,13.5,41.0,45.599998474121094,4.035221099853516,16.299999237060547,130.60000610351562,29.100000381469727
2020-04-02,51.20000076293945,71.44999694824219,12.571428298950195,13.380000114440918,38.79999923706055,46.650001525878906,4.04482889175415,16.360000610351562,129.5,29.25
2020-04-03,52.20000076293945,72.0,12.380951881408691,13.760000228881836,38.0,46.400001525878906,4.160120964050293,16.540000915527344,131.3000030517578,29.600000381469727
2020-04-06,53.25,75.9000015258789,12.666666030883789,13.9399995803833,38.5,47.400001525878906,4.381096839904785,16.5,136.0,30.700000762939453
2020-04-07,57.29999923706055,78.0,13.14285659790039,14.34000015258789,39.79999923706055,49.25,4.323451042175293,17.0,139.3000030517578,31.799999237060547
2020-04-08,57.20000076293945,79.94999694824219,13.2380952835083,14.600000381469727,40.150001525878906,50.400001525878906,4.323451042175293,17.15999984741211,137.6999969482422,31.799999237060547
2020-04-09,56.70000076293945,79.05000305175781,13.161904335021973,14.960000038146973,40.45000076293945,50.099998474121094,4.371490001678467,17.399999618530273,138.60000610351562,32.0
2020-04-14,57.29999923706055,80.4000015258789,13.466666221618652,15.079999923706055,41.0,50.20000076293945,4.361882209777832,17.280000686645508,139.0,32.25
2020-04-15,58.400001525878906,82.05000305175781,13.65714168548584,15.119999885559082,41.29999923706055,52.400001525878906,4.457959175109863,17.540000915527344,138.5,32.45000076293945
2020-04-16,56.599998474121094,81.5999984741211,13.619047164916992,14.300000190734863,39.75,51.5,4.419528007507324,16.979999542236328,135.5,31.649999618530273
2020-04-17,57.79999923706055,81.44999694824219,13.790475845336914,14.479999542236328,39.79999923706055,51.54999923706055,4.486782073974609,17.260000228881836,136.5,32.45000076293945
2020-04-20,58.45000076293945,81.5999984741211,13.771428108215332,14.699999809265137,40.20000076293945,51.400001525878906,4.525211811065674,17.200000762939453,136.0,32.349998474121094
2020-04-21,57.150001525878906,82.1500015258789,13.371427536010742,14.279999732971191,39.79999923706055,50.75,4.457959175109863,17.260000228881836,135.60000610351562,31.549999237060547
2020-04-22,55.0,80.5,12.876190185546875,13.819999694824219,38.45000076293945,50.0,4.429135799407959,16.799999237060547,134.0,30.799999237060547
2020-04-23,57.0,81.5,13.104761123657227,13.979999542236328,38.79999923706055,51.5,4.5156049728393555,16.959999084472656,133.89999389648438,31.299999237060547
2020-04-24,55.599998474121094,80.94999694824219,13.009523391723633,13.899999618530273,38.5,51.5,4.534820079803467,17.059999465942383,133.6999969482422,30.850000381469727
2020-04-27,55.0,80.9000015258789,13.14285659790039,13.9399995803833,38.95000076293945,51.0,4.467566013336182,16.799999237060547,133.0,31.350000381469727
2020-04-28,55.650001525878906,82.19999694824219,13.276189804077148,13.9399995803833,40.099998474121094,52.0,4.5156049728393555,17.239999771118164,134.6999969482422,31.5
2020-04-29,57.5,83.9000015258789,13.523809432983398,14.180000305175781,40.599998474121094,52.0,4.505997180938721,17.639999389648438,136.5,32.20000076293945
2020-05-04,55.099998474121094,80.19999694824219,12.723809242248535,14.5,39.0,50.20000076293945,4.486782073974609,17.3799991607666,134.39999389648438,30.299999237060547
2020-05-05,56.099998474121094,80.5,12.876190185546875,13.979999542236328,38.599998474121094,50.5,4.5156049728393555,16.639999389648438,133.3000030517578,30.200000762939453
2020-05-06,55.79999923706055,80.94999694824219,12.952380180358887,13.899999618530273,38.5,50.599998474121094,4.505997180938721,16.280000686645508,134.5,30.049999237060547
2020-05-07,56.70000076293945,80.9000015258789,13.104761123657227,14.0,38.70000076293945,50.20000076293945,4.525211811065674,16.479999542236328,133.5,30.299999237060547
2020-05-08,56.29999923706055,80.55000305175781,13.219046592712402,14.319999694824219,39.29999923706055,50.20000076293945,4.554035186767578,16.639999389648438,134.60000610351562,30.450000762939453
2020-05-11,57.04999923706055,80.30000305175781,13.180952072143555,14.319999694824219,39.849998474121094,50.599998474121094,4.563642978668213,16.700000762939453,135.8000030517578,30.700000762939453
2020-05-12,56.5,80.0,13.028571128845215,14.479999542236328,39.20000076293945,50.400001525878906,4.361882209777832,16.799999237060547,136.6999969482422,31.0
2020-05-13,55.599998474121094,80.0,12.99047565460205,13.720000267028809,39.0,50.099998474121094,4.323451042175293,16.34000015258789,135.0,30.399999618530273
2020-05-14,55.29999923706055,79.44999694824219,12.914284706115723,13.819999694824219,38.5,50.150001525878906,4.323451042175293,16.200000762939453,132.0,30.200000762939453
2020-05-15,55.099998474121094,79.3499984741211,13.047618865966797,13.9399995803833,38.25,50.349998474121094,4.304235935211182,16.0,132.60000610351562,30.25
2020-05-18,55.70000076293945,78.9000015258789,12.952380180358887,13.640000343322754,38.0,48.349998474121094,4.2754130363464355,16.0,132.0,29.5
2020-05-19,54.79999923706055,80.5,13.333333015441895,14.0,39.349998474121094,47.79999923706055,4.323451042175293,16.219999313354492,135.0,30.399999618530273
2020-05-20,54.79999923706055,81.1500015258789,13.333333015441895,14.15999984741211,39.099998474121094,47.95000076293945,4.294628143310547,16.31999969482422,135.0,30.299999237060547
2020-05-21,54.70000076293945,81.0999984741211,13.29523754119873,14.180000305175781,39.0,47.79999923706055,4.265804767608643,16.200000762939453,134.8000030517578,30.100000381469727
2020-05-22,52.0,80.0,12.895237922668457,13.920000076293945,37.599998474121094,46.5,4.169729232788086,15.899999618530273,131.39999389648438,28.799999237060547
2020-05-25,49.400001525878906,76.1500015258789,12.266666412353516,12.9399995803833,35.54999923706055,43.599998474121094,4.035221099853516,14.920000076293945,122.69999694824219,27.5
